item_code,item_name,total_qty,trx_frequency,avg_qty_per_trx,std_qty,recency,label,class_id,Qty_Velocity,Trx_Velocity,Recency_Ratio,Qty_Velocity_zscore,Trx_Velocity_zscore,Avg_Qty_Per_Trx_zscore,Std_Qty_zscore,Recency_Ratio_zscore,pred_knn,pred_rf,pred_svm,pred_lr,pred_xgb,pred_consensus
103700002,ANBIOLID  FC TABLET,51,36,1.4166666666666667,0.6035608621222173,27,Slow Moving,2,0.04661791590493602,0.03290676416819013,0.024680073126142597,-0.5273,-0.4938,-0.7216,-0.7133,-0.3486,Medium Moving,Slow Moving,Medium Moving,Medium Moving,Slow Moving,Medium Moving
103700003,ANCEFA FC TABLET,365,87,4.195402298850575,4.387718272473667,51,Medium Moving,1,0.3336380255941499,0.07952468007312614,0.04661791590493602,-0.3613,-0.2808,-0.3151,-0.1892,-0.2439,Medium Moving,Medium Moving,Medium Moving,Medium Moving,Medium Moving,Medium Moving
103700004,ANCEFA 125 DRY SUSPENSION,42,15,2.8,2.1447610589527217,68,Slow Moving,2,0.038391224862888484,0.013711151736745886,0.062157221206581355,-0.5321,-0.5815,-0.5193,-0.4999,-0.1698,Slow Moving,Slow Moving,Medium Moving,Slow Moving,Slow Moving,Slow Moving
103700005,ANCEFA 250 DRY SUSPENSION,92,28,3.2857142857142856,1.8430478552727265,47,Medium Moving,1,0.08409506398537477,0.025594149908592323,0.04296160877513711,-0.5056,-0.5272,-0.4482,-0.5416,-0.2614,Slow Moving,Medium Moving,Medium Moving,Medium Moving,Medium Moving,Medium Moving
103700007,ANCLA  FC TABLET,166,66,2.515151515151515,1.647771681742199,42,Medium Moving,1,0.15173674588665448,0.0603290676416819,0.038391224862888484,-0.4665,-0.3685,-0.5609,-0.5687,-0.2832,Medium Moving,Medium Moving,Medium Moving,Medium Moving,Medium Moving,Medium Moving
103700008,ANCLA FORTE DRY SUSPENSION,222,19,11.68421052631579,12.092479901800068,20,Medium Moving,1,0.20292504570383912,0.01736745886654479,0.018281535648994516,-0.4369,-0.5648,0.7804,0.8778,-0.3792,Medium Moving,Medium Moving,Medium Moving,Medium Moving,Medium Moving,Medium Moving
103700009,ANDONEX 100 SYRUP,107,4,26.75,18.409689477736084,49,Medium Moving,1,0.09780621572212066,0.003656307129798903,0.044789762340036565,-0.4977,-0.6274,2.9843,1.7527,-0.2527,Fast Moving,Medium Moving,Fast Moving,Medium Moving,Medium Moving,Medium Moving
103700010,ANDONEX 60 SYRUP,1886,54,34.925925925925924,18.084551785361683,22,Fast Moving,0,1.7239488117001829,0.04936014625228519,0.02010968921389397,0.443,-0.4186,4.1803,1.7077,-0.3705,Fast Moving,Fast Moving,Fast Moving,Fast Moving,Fast Moving,Fast Moving
103700017,ARCAPEC DRY SUSPENSION,277,83,3.3373493975903616,1.3905351525865506,1,Medium Moving,1,0.253199268738574,0.07586837294332724,0.0009140767824497258,-0.4078,-0.2975,-0.4406,-0.6043,-0.4621,Medium Moving,Medium Moving,Medium Moving,Medium Moving,Medium Moving,Medium Moving
103700018,ARCAPEC (BLISTER) TABLET,779,464,1.6788793103448276,1.3104934665198888,0,Fast Moving,0,0.7120658135283364,0.42413162705667273,0.0,-0.1424,1.2937,-0.6833,-0.6154,-0.4664,Medium Moving,Medium Moving,Fast Moving,Fast Moving,Medium Moving,Medium Moving
103700021,ARINIA  5  TABLET,25,11,2.272727272727273,1.009049958219026,757,Slow Moving,2,0.022851919561243144,0.010054844606946984,0.6919561243144424,-0.5411,-0.5982,-0.5964,-0.6571,2.8362,Slow Moving,Slow Moving,Slow Moving,Slow Moving,Slow Moving,Slow Moving
103700022,ARSINAL  FC TABLET,857,380,2.2552631578947366,1.6788608665381322,2,Fast Moving,0,0.783363802559415,0.3473491773308958,0.0018281535648994515,-0.1011,0.9429,-0.5989,-0.5644,-0.4577,Medium Moving,Fast Moving,Medium Moving,Medium Moving,Fast Moving,Medium Moving
